1. PERIODO,2 CODIGO DE CATALOGO,3 CODIGO DEL RUBRO ,4. SALDO DEL RUBRO CONTABLE ,5. ESTADO DE LA OPERACION ,
2023/09,09,Otros Pagos de Efectivo Relativos a la Actividad  de Operación,-6225529307.06,1,
2023/08,09,Otros Pagos de Efectivo Relativos a la Actividad  de Operación,-1392833120.32,1,
2023/07,09,Otros Pagos de Efectivo Relativos a la Actividad  de Operación,-1391123031.38,1,
2023/08,09,Proveedores de Bienes y Servicios,-524638826.79,1,
2023/09,09,Proveedores de Bienes y Servicios,-462048302.03,1,
2023/03,09,Proveedores de Bienes y Servicios,-363345206.81,1,
2023/07,09,Proveedores de Bienes y Servicios,-134635792.87,1,
2023/06,09,Otros Pagos de Efectivo Relativos a la Actividad  de Operación,-101602504.64,1,
2023/06,09,Proveedores de Bienes y Servicios,-23154802.44,1,
2023/12,09,Otros Pagos de Efectivo Relativos a la Actividad  de Operación,-15538070.6,1,
2023/05,09,Proveedores de Bienes y Servicios,-10057798.91,1,
2023/05,09,Otros Pagos de Efectivo Relativos a la Actividad  de Operación,-8242957.65,1,
2023/11,09,Otros Pagos de Efectivo Relativos a la Actividad  de Operación,-7769035.3,1,
2023/04,09,Proveedores de Bienes y Servicios,-3186482.3,1,
2023/08,09,Compra de Activos Intangibles ,-2543735.23,1,
2023/06,09,Compra de Activos Intangibles ,-1023000.35,1,
2023/12,09,Compra de Activos Intangibles ,-820443.2,1,
2023/03,09,Otros Pagos de Efectivo Relativos a la Actividad  de Operación,-661642.6,1,
2023/08,09,Compra de Propiedades  Planta  y Equipo,-644034.88,1,
2023/11,09,Compra de Activos Intangibles ,-410221.6,1,
2023/09,09,Compra de Propiedades  Planta  y Equipo,-244375.9,1,
2023/09,09,Pasivos por Arrendamiento Financiero,-240274.58,1,
2023/04,09,Otros Pagos de Efectivo Relativos a la Actividad  de Operación,-186826.38,1,
2023/09,09,Otros cobros de efectivo relativos a la actividad de operación,-131562.45,1,
2023/08,09,Pasivos por Arrendamiento Financiero,-120137.29,1,
2023/10,09,Compra de Propiedades  Planta  y Equipo,-76866.84,1,
2023/11,09,Compra de Propiedades  Planta  y Equipo,-24559.89,1,
2023/07,09,Compra de Propiedades  Planta  y Equipo,-23758.5,1,
2023/05,09,Compra de Propiedades  Planta  y Equipo,-21654.06,1,
2023/09,09,Intereses recibidos (no incluidos en la Actividad de Inversión),-15892.25,1,
2023/08,09,Otros cobros de efectivo relativos a la actividad de operación,-1170,1,
2023/06,09,Pasivos por Arrendamiento Financiero,-100,1,
2023/09,09,Pagos a y por cuenta de los empleados,2300,1,
2023/06,09,Compra de Propiedades  Planta  y Equipo,6577.86,1,
2023/09,09,Compra de Activos Intangibles ,79043.51,1,
2023/07,09,Compra de Activos Intangibles ,90335.44,1,
2023/07,09,Pagos a y por cuenta de los empleados,218690.77,1,
2023/05,09,Venta de Bienes y Prestación de Servicios ,820070,1,
2023/08,09,Pagos a y por cuenta de los empleados,879663.08,1,
2023/11,09,Venta de Bienes y Prestación de Servicios ,35031308.28,1,
2023/12,09,Venta de Bienes y Prestación de Servicios ,70062616.56,1,
2023/07,09,Venta de Bienes y Prestación de Servicios ,391009192.43,1,
2023/08,09,Venta de Bienes y Prestación de Servicios ,2194053551.54,1,
2023/09,09,Venta de Bienes y Prestación de Servicios ,17968616292.73,1,
