1 Periodo,2 CUO,3 Numero correlativo del asiento,4 Codigo de la cuenta contable,5 Codigo de Unidad de Operación,6 Centro de Costo,7 Tipo de Moneda de Origen,8 Tipo de documento de identidad del emisor,9 Numero de documento de identidad del emisor,10 Tipo de Comprobante,11 Numero de Serie del comprobante de Pago,12 Numero de compronbante de pago,13 Fecha Contable,14 Fecha de Vencimiento,15 Fecha de la operación o emision,16 Glosa o descripcion de la naturaleza de la operacion registrada de ser el caso,17 Glosa referencial  de ser el caso,18 Movimientos del Debe,19 Movimiento del Haber,20 Dato Estructurado,21 Indica el estado de la operacion,
20240100,65446,M654460,1041101,1,1301,PEN,6,20604673977,00,0,0,04/01/2024,04/01/2024,04/01/2024,000001091,Pago de factura,0.00,13586.78,,1,
20240100,65676,M656760,1041101,1,1301,PEN,6,20371672151,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001101,Pago de factura,0.00,6983.68,,1,
20240100,65677,M656770,1041101,1,1301,PEN,6,20260497414,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001102,Pago de factura,0.00,18691.00,,1,
20240100,65678,M656780,1041101,1,1301,PEN,6,10075618323,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001103,Pago de factura,0.00,295.00,,1,
20240100,65679,M656790,1041101,1,1301,PEN,6,20603495587,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001104,Pago de factura,0.00,236.00,,1,
20240100,65680,M656800,1041101,1,1301,PEN,6,20100049181,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001105,Pago de factura,0.00,1741.37,,1,
20240100,65681,M656810,1041101,1,1301,PEN,6,20555762977,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001106,Pago de factura,0.00,49843.00,,1,
20240100,65682,M656820,1041101,1,1301,PEN,6,20555723645,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001107,Pago de factura,0.00,2710.00,,1,
20240100,65683,M656830,1041101,1,1301,PEN,6,20101155588,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001108,Pago de factura,0.00,14154.83,,1,
20240100,65684,M656840,1041101,1,1301,PEN,6,20552504641,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001109,Pago de factura,0.00,2837.90,,1,
20240100,65685,M656850,1041101,1,1301,PEN,6,20609510642,00,0,0,05/01/2024,05/01/2024,05/01/2024,0000011010,Pago de factura,0.00,2224.56,,1,
20240100,65686,M656860,1041101,1,1301,PEN,6,20117920144,00,0,0,05/01/2024,05/01/2024,05/01/2024,0000011011,Pago de factura,0.00,46644.50,,1,
20240100,65687,M656870,1041101,1,1301,PEN,6,20602079075,00,0,0,05/01/2024,05/01/2024,05/01/2024,0000011012,Pago de factura,0.00,106.20,,1,
20240100,65688,M656880,1041101,1,1301,PEN,6,20509959766,00,0,0,05/01/2024,05/01/2024,05/01/2024,0000011013,Pago de factura,0.00,6026.72,,1,
20240100,65689,M656890,1041101,1,1301,PEN,6,20295734681,00,0,0,05/01/2024,05/01/2024,05/01/2024,0000011014,Pago de factura,0.00,795.28,,1,
20240100,65690,M656900,1041101,1,1301,PEN,6,20454077645,00,0,0,05/01/2024,05/01/2024,05/01/2024,0000011015,Pago de factura,0.00,3115.00,,1,
20240100,65878,M658780,1041101,1,1301,PEN,6,20548785830,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001121,Pago de factura,0.00,4187.49,,1,
20240100,65880,M658800,1041101,1,1301,PEN,6,20601824826,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001122,Pago de factura,0.00,15204.87,,1,
20240100,66405,M664050,1041101,1,1301,PEN,6,10088032816,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001171,Pago de factura,0.00,800.00,,1,
20240100,66406,M664060,1041101,1,1301,PEN,6,10447569952,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001172,Pago de factura,0.00,276.00,,1,
20240100,66512,M665120,1041101,1,1301,PEN,6,20603735359,00,0,0,09/01/2024,09/01/2024,09/01/2024,000001181,Pago de factura,0.00,158875.00,,1,
20240100,65985,M659850,1041201,1,1301,USD,6,20301960582,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001131,Pago de factura,0.00,130.83,,1,
20240100,65986,M659860,1041201,1,1301,USD,6,20101071562,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001132,Pago de factura,0.00,9606.92,,1,
20240100,65987,M659870,1041201,1,1301,USD,6,20427486843,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001133,Pago de factura,0.00,441.08,,1,
20240100,65988,M659880,1041201,1,1301,USD,6,20600036611,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001134,Pago de factura,0.00,9812.44,,1,
20240100,65989,M659890,1041201,1,1301,USD,6,20344877158,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001135,Pago de factura,0.00,115063.12,,1,
20240100,66094,M660940,1041201,1,1301,USD,6,20344877158,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001141,Pago de factura,0.00,172594.67,,1,
20240100,66196,M661960,1041201,1,1301,USD,6,20344877158,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001151,Pago de factura,0.00,172594.67,,1,
20240100,66301,M663010,1041201,1,1301,USD,6,20344877158,00,0,0,05/01/2024,05/01/2024,05/01/2024,000001161,Pago de factura,0.00,115063.12,,1,
20240100,64722,M647221,3412101,1,1423,USD,6,20600036611,07,E001,99,03/01/2024,02/01/2024,02/01/2024,FACTURA ANULADA CON NC E001-99,Crédito de factura,0.00,3485.66,080100&20240100&64722&M64722,1,
20240100,64725,M647251,3412101,1,1407,USD,6,20600036611,07,E001,98,03/01/2024,02/01/2024,02/01/2024,FACTURA ANULADA CON NC E001-98,Crédito de factura,0.00,1311.57,080100&20240100&64725&M64725,1,
20240100,64728,M647281,3412101,1,1407,USD,6,20600036611,07,E001,97,03/01/2024,02/01/2024,02/01/2024,FACTURA ANULADA CON NC E001-97,Crédito de factura,0.00,2623.14,080100&20240100&64728&M64728,1,
20240100,61867,M618674,4011102,1,1311,USD,,,01,F001,56221,09/01/2024,08/02/2024,09/01/2024,IVA,Factura de venta,0.00,184.09,140100&20240100&61867&M61867,1,
20240100,63583,M635833,4011102,1,1323,PEN,,,01,F001,56081,05/01/2024,04/02/2024,05/01/2024,IVA,Factura de venta,0.00,65.88,140100&20240100&63583&M63583,1,
20240100,63596,M635964,4011102,1,1326,PEN,,,01,F001,56109,05/01/2024,04/02/2024,05/01/2024,IVA,Factura de venta,0.00,1876.50,140100&20240100&63596&M63596,1,
20240100,63599,M635994,4011102,1,1326,PEN,,,01,F001,56110,05/01/2024,04/02/2024,05/01/2024,IVA,Factura de venta,0.00,1346.22,140100&20240100&63599&M63599,1,
