Ruc|Nombre/Razon|A partir del|Resolucion|
20554545743|CORPORACION PRIMAX S.A.|01/03/2015|RS D.S.007-2015|
20501458164|HERCO COMBUSTIBLES S.A.|18/09/2002|RS -|
20600427734|HIDROCARBUROS DEL MUNDO S.A.C.-HIDROMUNDO S.A.C.|01/01/2019|RS D.S.247-2018|
20603111304|MOBIL PETROLEUM OVERSEAS COMPANY LIMITED, SUCURSAL DEL PERU|01/01/2019|RS D.S.247-2018|
20553167672|NUMAY SOCIEDAD ANONIMA - NUMAY S.A.|01/03/2015|RS D.S.007-2015|
20259033072|PERUANA DE COMBUSTIBLES S.A|18/09/2002|RS -|
20332711157|PETROLEOS DE AMERICA S.A.|01/12/2004|RS R.S.278-2004|
20100128218|PETROLEOS DEL PERU PETROPERU SA|18/09/2002|RS -|
20601147450|PHOENINCA PERU S.R.L.|01/01/2019|RS D.S.247-2018|
20262463771|PUMA ENERGY PERU S.A.C.|18/09/2002|RS -|
20513251506|PURE BIOFUELS DEL PERU S.A.C.|01/03/2015|RS D.S.007-2015|
20259829594|REFINERIA LA PAMPILLA S.A.A|18/09/2002|RS -|
20503840121|REPSOL COMERCIAL SAC|18/09/2002|RS -|
20513320753|REPSOL MARKETING S.A.C.|01/02/2014|RS D.S.293-2013|
